player,gp,gs,dnp,min,mpg,pts,ppg,ppm,ast,apg,apm,to,topg,topm,ast:to,reb,rpg,rpm,oreb,dreb,stl,spg,spm,blk,bpg,bpm,pf,pfpg,pfpm,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,ftp
Stefanie Dolson,13,6,0,169,13.0,111,8.538,0.657,15,1.154,0.089,20,1.538,0.118,0.75,60,4.615,0.355,13,47,3,0.231,0.018,6,0.462,0.036,27,2.077,0.16,42,72,58.333,10,24,41.667,9,9,100.0,17
Rickea Jackson,14,12,0,180,12.857,191,13.643,1.061,14,1.0,0.078,22,1.571,0.122,0.636,55,3.929,0.306,13,42,6,0.429,0.033,5,0.357,0.028,34,2.429,0.189,74,174,42.529,16,47,34.043,14,15,93.333,27
Katie Lou Samuelson,14,8,0,159,11.357,100,7.143,0.629,27,1.929,0.17,10,0.714,0.063,2.7,36,2.571,0.226,10,26,10,0.714,0.063,5,0.357,0.031,29,2.071,0.182,43,87,49.425,10,27,37.037,3,8,37.5,4
Allisha Gray,14,14,0,242,17.286,268,19.143,1.107,38,2.714,0.157,20,1.429,0.083,1.9,77,5.5,0.318,10,67,15,1.071,0.062,3,0.214,0.012,44,3.143,0.182,93,202,46.04,32,85,37.647,27,31,87.097,50
Ariel Atkin,4,0,2,33,8.25,12,3.0,0.364,6,1.5,0.182,7,1.75,0.212,0.857,7,1.75,0.212,2,5,2,0.5,0.061,0,0.0,0.0,9,2.25,0.273,4,20,20.0,2,10,20.0,1,1,100.0,2
DiJonai Carrington,11,0,3,105,9.545,104,9.455,0.99,20,1.818,0.19,21,1.909,0.2,0.952,46,4.182,0.438,7,39,17,1.545,0.162,3,0.273,0.029,33,3.0,0.314,40,90,44.444,8,24,33.333,9,15,60.0,16
Kiki Jefferson,2,0,5,9,4.5,6,3.0,0.667,0,0.0,0.0,0,0.0,0.0,0,2,1.0,0.222,0,2,0,0.0,0.0,0,0.0,0.0,1,0.5,0.111,2,5,40.0,2,3,66.667,0,0,0,0
Natasha Cloud,14,8,0,207,14.786,136,9.714,0.657,66,4.714,0.319,26,1.857,0.126,2.538,69,4.929,0.333,10,59,6,0.429,0.029,3,0.214,0.014,28,2.0,0.135,50,127,39.37,14,59,23.729,12,15,80.0,22
Aliyah Boston,13,1,0,121,9.308,77,5.923,0.636,10,0.769,0.083,8,0.615,0.066,1.25,68,5.231,0.562,16,52,3,0.231,0.025,4,0.308,0.033,24,1.846,0.198,32,66,48.485,1,2,50.0,7,10,70.0,12
Brittney Syke,12,3,2,158,13.167,139,11.583,0.88,22,1.833,0.139,21,1.75,0.133,1.048,47,3.917,0.297,15,32,7,0.583,0.044,1,0.083,0.006,40,3.333,0.253,55,131,41.985,6,26,23.077,13,17,76.471,23
Rae Burrell,13,0,0,124,9.538,111,8.538,0.895,19,1.462,0.153,14,1.077,0.113,1.357,32,2.462,0.258,8,24,10,0.769,0.081,6,0.462,0.048,18,1.385,0.145,38,100,38.0,9,28,32.143,13,19,68.421,26
Jordin Canada,12,8,1,150,12.5,115,9.583,0.767,46,3.833,0.307,16,1.333,0.107,2.875,42,3.5,0.28,10,32,6,0.5,0.04,1,0.083,0.007,25,2.083,0.167,46,105,43.81,4,21,19.048,11,16,68.75,19
Sabrina Ionescu,9,9,5,175,19.444,162,18.0,0.926,37,4.111,0.211,15,1.667,0.086,2.467,63,7.0,0.36,14,49,5,0.556,0.029,3,0.333,0.017,16,1.778,0.091,58,142,40.845,23,64,35.938,13,16,81.25,23
Natisha Hiedeman,12,3,1,117,9.75,94,7.833,0.803,26,2.167,0.222,9,0.75,0.077,2.889,42,3.5,0.359,3,39,4,0.333,0.034,4,0.333,0.034,25,2.083,0.214,37,94,39.362,14,41,34.146,4,4,100.0,6
Marina Mabrey,3,1,11,41,13.667,44,14.667,1.073,8,2.667,0.195,2,0.667,0.049,4.0,13,4.333,0.317,2,11,0,0.0,0.0,0,0.0,0.0,8,2.667,0.195,15,38,39.474,8,24,33.333,3,3,100.0,6
Kate Martin,6,0,7,66,11.0,52,8.667,0.788,5,0.833,0.076,7,1.167,0.106,0.714,31,5.167,0.47,5,26,7,1.167,0.106,0,0.0,0.0,15,2.5,0.227,20,55,36.364,6,29,20.69,3,4,75.0,6
Jewell Loyd,12,12,2,150,12.5,147,12.25,0.98,29,2.417,0.193,22,1.833,0.147,1.318,33,2.75,0.22,10,23,5,0.417,0.033,3,0.25,0.02,21,1.75,0.14,52,116,44.828,15,40,37.5,16,18,88.889,28
Betnijah Laney-Hamilton,2,0,2,35,17.5,31,15.5,0.886,3,1.5,0.086,4,2.0,0.114,0.75,5,2.5,0.143,0,5,1,0.5,0.029,0,0.0,0.0,4,2.0,0.114,12,31,38.71,0,6,0.0,4,4,100.0,7
