PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Jewell Loyd,12,10-21,4-9,4-5,5,3,2,1,0,1,3,2,30
S Courtney Vandersloot,8,4-7,1-2,1-1,2,0,2,2,0,0,2,3,11
S Breanna Stewart,11,2-11,0-5,1-2,14,1,13,2,1,0,1,3,6
Rickea Jackson,12,6-15,1-3,1-1,2,1,1,1,2,0,1,2,15
Aaliyah Edwards,8,5-7,0-0,0-0,8,3,5,3,0,0,1,2,10
DiJonai Carrington,11,3-6,0-2,1-1,5,0,5,3,1,1,2,3,8
TEAM,,30-67,6-21,8-10,42,10,32,12,4,2,10,15,80
,,44.8%,28.6%,80.0%
