PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Dearica Hamby,11,9-11,0-0,2-4,5,1,4,4,1,0,1,2,22
S Arike Ogunbowale,12,9-17,2-5,1-2,3,0,3,4,1,0,0,1,21
S Rhyne Howard,11,4-10,2-5,2-2,8,2,6,4,1,0,1,1,14
Aliyah Boston,10,4-8,0-0,2-2,7,3,4,1,0,0,0,2,11
Rae Burrell,10,3-10,0-3,1-1,0,0,0,2,1,1,1,0,8
Jordin Canada,9,2-7,0-0,2-2,4,1,3,1,1,0,0,1,8
TEAM,,31-63,4-13,10-13,31,8,23,16,5,1,3,7,84
,,49.2%,30.8%,76.9%
