PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kayla McBride,26,8-19,3-9,1-1,5,1,4,3,2,1,1,1,20
S Tiffany Hayes,16,6-17,1-7,0-2,3,0,3,1,2,0,5,2,13
S Alyssa Thomas,24,6-12,0-0,0-1,16,3,13,8,3,1,4,2,12
Jackie Young,13,2-6,0-3,0-0,3,1,2,0,0,0,2,3,4
Stefanie Dolson,4,2-2,0-0,0-0,2,1,1,0,0,0,1,1,4
Kate Martin,DNP
Kiki Jefferson,DNP
TEAM,,24-56,4-19,1-4,34,6,28,12,7,2,13,9,53
,,42.9%,21.1%,25.0%
