PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,18,13-17,5-7,3-3,18,2,16,5,3,1,2,3,37
S Allisha Gray,14,6-18,5-12,2-2,5,1,4,5,1,0,0,4,21
S Skylar Diggins-Smith,11,4-11,0-3,4-5,3,2,1,2,1,0,1,3,16
Courtney Williams,8,3-8,0-1,0-0,4,0,4,4,0,0,0,4,6
Shakira Austin,7,1-5,0-0,0-0,2,0,2,0,0,1,0,2,2
Cameron Brink,DNP
TEAM,,27-59,10-23,9-10,39,6,33,16,5,2,3,16,82
,,45.8%,43.5%,90.0%
