PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,14,10-14,0-1,4-6,7,0,7,0,1,1,1,5,26
S Allisha Gray,16,6-12,3-5,2-3,6,1,5,2,1,1,1,5,19
S Skylar Diggins-Smith,10,5-10,1-4,3-4,2,2,0,4,2,0,1,4,16
Courtney Williams,9,4-7,0-1,0-0,2,0,2,5,0,0,0,1,8
Shakira Austin,8,3-5,0-0,0-0,4,2,2,2,1,0,4,3,6
Cameron Brink,DNP
TEAM,,28-48,4-11,9-13,24,6,18,13,5,2,7,18,75
,,58.3%,36.4%,69.2%
