PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,17,8-14,0-2,3-3,8,0,8,9,3,0,1,1,21
S Rickea Jackson,14,7-12,2-5,2-3,6,0,6,1,2,0,0,5,20
S Jewell Loyd,18,7-10,3-5,1-1,2,1,1,2,0,0,4,1,18
Courtney Vandersloot,9,5-8,3-5,0-0,2,0,2,2,0,0,2,3,13
DiJonai Carrington,8,4-7,0-2,1-2,3,0,3,1,1,0,2,5,9
Aaliyah Edwards,8,2-4,1-1,1-1,7,2,5,3,0,0,0,1,7
NaLyssa Smith,DNP
TEAM,,33-55,9-20,8-10,32,4,28,18,6,0,9,16,88
,,60.0%,45.0%,80.0%
