PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,21,9-18,2-3,2-3,13,1,12,1,0,2,2,2,24
S Rickea Jackson,18,4-12,0-1,1-1,6,1,5,3,0,0,2,1,10
S Jewell Loyd,13,3-9,0-1,1-1,4,0,4,2,1,0,1,2,8
DiJonai Carrington,13,5-9,1-1,1-1,5,2,3,3,2,0,2,5,13
Courtney Vandersloot,10,5-6,0-0,0-0,1,0,1,2,0,0,2,1,10
Aaliyah Edwards,7,2-3,0-0,0-1,0,0,0,0,1,0,0,0,4
NaLyssa Smith,DNP
TEAM,,28-57,3-6,5-7,36,5,31,11,4,2,9,11,69
,,49.1%,50.0%,71.4%
