PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,21,14-22,3-6,1-2,12,4,8,2,2,2,1,1,33
S Skylar Diggins-Smith,20,10-17,1-6,2-2,7,2,5,11,3,1,3,4,25
S Allisha Gray,19,8-17,4-9,2-2,4,2,2,4,2,0,0,4,23
Shakira Austin,13,4-7,0-2,1-1,5,2,3,1,0,0,0,1,9
Courtney Williams,10,1-6,0-1,0-0,2,0,2,4,0,0,1,2,2
Cameron Brink,DNP
TEAM,,37-69,8-24,6-7,34,11,23,22,7,3,5,12,92
,,53.6%,33.3%,85.7%
