PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Tiffany Hayes,13,11-19,4-8,0-0,4,1,3,2,1,0,1,4,26
S Kayla McBride,16,7-14,2-4,4-4,4,0,4,3,1,0,4,1,22
S Alyssa Thomas,10,5-9,0-0,2-4,12,3,9,4,2,0,2,0,14
Kate Martin,11,5-11,1-5,0-0,3,1,2,1,1,0,0,4,11
Stefanie Dolson,9,4-6,1-1,1-1,5,1,4,0,0,1,1,0,10
Jackie Young,DNP
TEAM,,32-59,8-18,7-9,32,7,25,10,5,1,8,9,83
,,54.2%,44.4%,77.8%
