PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,18,14-23,1-6,2-2,6,0,6,4,1,1,1,5,31
S Allisha Gray,16,9-15,2-6,1-2,9,1,8,1,1,0,1,3,21
S Skylar Diggins-Smith,12,3-6,1-2,1-1,2,1,1,4,2,0,1,3,9
Courtney Williams,11,4-7,2-2,0-0,1,0,1,8,1,0,2,2,10
Shakira Austin,7,3-8,0-0,1-2,3,3,0,1,1,1,0,2,8
Cameron Brink,DNP
TEAM,,33-59,6-16,5-7,24,6,18,18,6,2,5,15,79
,,55.9%,37.5%,71.4%
