PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Rhyne Howard,24,9-20,4-11,2-3,4,1,3,3,3,1,1,5,26
S Dearica Hamby,19,9-16,2-2,2-3,9,1,8,3,1,0,3,2,23
S Jordin Canada,14,5-8,0-0,0-1,3,0,3,5,1,0,3,2,10
Rae Burrell,14,4-6,1-1,2-2,4,0,4,3,1,2,1,2,13
Aliyah Boston,8,0-3,0-0,0-1,7,0,7,1,0,0,1,2,0
Arike Ogunbowale,DNP
TEAM,,27-53,7-14,6-10,29,2,27,15,6,3,9,13,72
,,50.9%,50.0%,60.0%
