PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,16,10-18,0-3,0-2,9,0,9,2,2,1,4,3,20
S Jewell Loyd,15,3-11,2-5,3-3,5,1,4,7,1,0,3,3,13
S Rickea Jackson,15,3-10,0-3,2-2,3,1,2,2,0,0,2,4,10
Aaliyah Edwards,9,5-9,0-0,2-2,5,2,3,0,1,1,1,1,14
Courtney Vandersloot,8,4-6,0-0,1-1,5,0,5,2,0,0,0,2,9
DiJonai Carrington,DNP
NaLyssa Smith,DNP
TEAM,,25-54,2-11,8-10,33,6,27,13,4,2,10,13,66
,,46.3%,18.2%,80.0%
