PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Alyssa Thomas,18,8-11,0-0,0-0,9,2,7,1,0,0,2,4,16
S Kayla McBride,19,5-18,2-8,0-0,3,0,3,2,1,0,1,1,12
S Tiffany Hayes,14,3-11,1-2,2-3,4,2,2,1,2,0,1,2,11
Jackie Young,15,5-7,3-4,1-1,1,0,1,4,0,0,2,4,16
Natisha Hiedeman,7,2-5,0-1,0-0,5,1,4,2,0,0,0,0,4
Stefanie Dolson,10,2-4,0-2,0-0,4,0,4,1,0,0,2,1,4
Betnijah Laney-Hamilton,DNP
Kate Martin,DNP
TEAM,,25-56,6-17,3-4,32,7,25,11,3,0,8,12,63
,,44.6%,35.3%,75.0%
