PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kahleah Copper,14,10-21,1-5,0-0,9,2,7,1,1,0,3,3,21
S Chelsea Gray,15,7-16,0-3,1-2,4,0,4,7,0,0,3,3,15
S Angel Reese,11,4-10,0-0,3-3,12,6,6,1,1,0,1,4,12
Azurá Stevens,7,6-9,1-4,1-1,9,1,8,1,1,0,1,1,15
Lexie Hull,6,3-6,0-1,0-0,6,3,3,2,0,0,2,4,6
Brittney Sykes,6,0-6,0-1,1-1,0,0,0,1,0,0,1,2,2
TEAM,,30-68,2-14,6-7,43,14,29,13,3,0,11,17,71
,,44.1%,14.3%,85.7%
