PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,17,13-18,0-1,6-6,12,1,11,5,4,0,1,4,36
S Allisha Gray,14,8-17,2-5,2-2,2,1,1,3,1,0,0,4,20
S Skylar Diggins-Smith,13,5-10,2-3,1-1,1,0,1,6,2,0,2,4,14
Courtney Williams,6,3-6,0-1,2-2,3,0,3,3,0,0,1,1,10
Shakira Austin,7,2-6,0-0,1-1,6,0,6,2,0,0,2,4,5
Cameron Brink,DNP
TEAM,,31-58,4-10,12-12,29,4,25,19,7,0,6,17,85
,,53.4%,40.0%,100.0%
