PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Brittney Sykes,19,7-16,1-4,1-2,9,4,5,3,2,0,3,3,17
S Angel Reese,21,8-16,0-0,1-2,10,4,6,2,1,1,7,4,17
S Chelsea Gray,25,4-14,2-5,0-0,4,0,4,5,2,1,4,2,10
Azurá Stevens,8,4-8,0-3,0-0,7,2,5,1,1,0,1,1,8
Lexie Hull,8,1-4,0-1,1-1,3,2,1,1,0,0,1,1,4
Kahleah Copper,DNP
Ariel Atkins,DNP
TEAM,,24-58,3-13,3-5,36,13,23,12,6,2,16,11,56
,,41.4%,23.1%,60.0%
