PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Dearica Hamby,21,13-18,2-4,2-6,11,4,7,3,1,0,2,2,31
S Rhyne Howard,26,6-19,4-13,1-1,8,0,8,4,0,0,2,3,18
S Jordin Canada,16,4-6,1-1,1-3,3,0,3,8,0,1,2,5,11
Aliyah Boston,7,3-4,0-0,1-1,3,0,3,0,0,0,0,3,8
Rae Burrell,9,2-7,0-2,0-0,1,0,1,2,1,0,2,1,4
Arike Ogunbowale,DNP
TEAM,,28-54,7-20,5-11,26,4,22,17,2,1,8,14,72
,,51.9%,35.0%,45.5%
