PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Skylar Diggins-Smith,23,10-19,0-1,1-3,5,3,2,5,0,0,3,6,22
S Allisha Gray,25,6-17,1-8,3-3,4,0,4,0,1,1,3,2,19
S Napheesa Collier,22,6-14,2-5,1-1,10,2,8,4,3,5,2,5,16
Shakira Austin,6,1-3,0-0,1-1,2,2,0,0,1,0,2,1,4
Courtney Williams,7,1-4,0-0,0-0,0,0,0,1,0,1,0,1,2
Cameron Brink,DNP
TEAM,,24-57,3-14,6-8,26,8,18,10,5,7,10,15,63
,,42.1%,21.4%,75.0%
