PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Aliyah Boston,13,6-13,0-0,1-1,9,3,6,1,0,0,1,3,14
S Arike Ogunbowale,15,5-18,2-6,0-0,10,1,9,7,1,0,0,2,12
S Rhyne Howard,13,2-10,1-4,1-1,4,2,2,1,0,1,1,6,7
Jordin Canada,11,5-11,2-5,1-1,4,1,3,1,0,0,0,0,14
Rae Burrell,7,4-13,2-5,0-0,6,3,3,0,1,0,1,1,10
Dearica Hamby,DNP
TEAM,,22-65,7-20,3-3,37,11,26,10,2,1,3,12,57
,,33.8%,35.0%,100.0%
