PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,22,7-16,0-3,1-1,9,4,5,2,3,1,2,4,16
S Skylar Diggins-Smith,15,5-12,0-4,1-1,0,0,0,3,2,3,1,1,12
S Allisha Gray,17,4-11,1-4,0-1,4,0,4,1,1,0,1,3,9
Shakira Austin,14,8-10,0-0,1-3,6,4,2,0,0,1,1,3,17
Courtney Williams,12,6-10,0-0,0-0,5,0,5,4,1,0,3,0,12
Cameron Brink,DNP
TEAM,,30-59,1-11,3-6,31,9,22,10,7,5,8,11,66
,,50.8%,9.1%,50.0%
