PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Chelsea Gray,25,9-20,3-5,3-3,6,0,6,5,0,0,6,2,26
S Angel Reese,23,10-19,0-1,1-2,21,8,13,2,1,1,4,6,22
S Lexie Hull,18,3-10,0-2,1-2,4,1,3,1,2,0,2,3,8
Brittney Sykes,17,6-8,0-1,2-3,4,1,3,4,0,0,3,5,16
Kiki Jefferson,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0
Azurá Stevens,DNP
Kahleah Copper,DNP
TEAM,,28-57,3-9,7-10,40,13,27,12,3,1,15,16,72
,,49.1%,33.3%,70.0%
