PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Natasha Cloud,19,5-9,2-5,1-1,4,1,3,4,0,1,2,2,14
S Satou Sabally,10,4-15,1-6,2-3,7,0,7,1,0,1,2,4,12
S Katie Lou Samuelson,15,4-8,0-1,0-0,4,1,3,2,0,2,0,0,8
Marina Mabrey,15,8-13,6-9,2-2,4,0,4,4,0,0,0,3,26
Brittney Griner,18,7-8,0-0,2-2,7,1,6,2,0,1,3,4,18
Natisha Hiedeman,9,1-6,0-3,0-0,3,0,3,4,0,1,0,0,2
Sabrina Ionescu,DNP
TEAM,,29-59,9-24,7-8,34,5,29,17,0,6,7,13,80
,,49.2%,37.5%,87.5%
