PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Brittney Griner,19,11-14,0-0,1-3,5,0,5,1,0,1,2,0,23
S Satou Sabally,15,5-11,1-4,3-3,7,1,6,3,1,0,3,3,17
S Sabrina Ionescu,18,5-11,1-4,1-1,5,0,5,1,1,0,1,3,13
Natasha Cloud,15,4-6,1-3,2-2,0,0,0,8,0,0,1,1,13
Katie Lou Samuelson,10,4-7,2-2,0-0,0,0,0,1,0,0,0,3,10
Marina Mabrey,DNP
TEAM,,29-49,5-13,7-9,21,1,20,14,2,1,7,10,76
,,59.2%,38.5%,77.8%
