PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Satou Sabally,12,10-17,5-6,2-2,3,1,2,1,0,0,5,6,29
S Natasha Cloud,15,3-12,0-4,0-0,7,0,7,9,0,0,3,0,6
S Katie Lou Samuelson,14,3-7,0-2,0-0,3,1,2,4,1,0,0,3,6
Brittney Griner,15,14-18,0-0,1-1,9,1,8,1,1,0,0,0,29
Natisha Hiedeman,6,1-3,0-2,1-1,2,1,1,3,0,0,0,1,4
Sabrina Ionescu,DNP
Marina Mabrey,DNP
TEAM,,31-57,5-14,4-4,28,5,23,18,2,0,8,10,74
,,54.4%,35.7%,100.0%
