PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Dearica Hamby,15,5-13,0-2,1-1,13,4,9,2,0,0,0,0,12
S Jordin Canada,14,4-8,0-1,1-2,2,0,2,3,0,0,2,3,10
S Rhyne Howard,24,2-20,0-8,2-2,3,0,3,1,0,2,1,2,8
Aliyah Boston,11,6-10,0-0,0-0,6,3,3,0,0,0,1,0,12
Rae Burrell,13,1-6,0-2,1-3,7,1,6,1,0,0,3,1,4
Arike Ogunbowale,DNP
TEAM,,18-57,0-13,5-8,38,10,28,7,0,2,7,7,46
,,31.6%,0.0%,62.5%
