PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Satou Sabally,11,9-17,2-3,1-2,7,1,6,1,0,0,3,3,22
S Sabrina Ionescu,18,5-16,0-4,1-1,5,0,5,9,0,0,0,1,12
S Natasha Cloud,10,2-5,1-2,1-1,8,0,8,4,1,0,1,5,7
Brittney Griner,13,8-13,0-0,2-3,8,2,6,2,0,2,1,1,20
Katie Lou Samuelson,7,0-6,0-2,0-0,3,0,3,0,1,0,0,1,0
Marina Mabrey,DNP
TEAM,,24-57,3-11,5-7,34,4,30,16,2,2,5,13,61
,,42.1%,27.3%,71.4%
