PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Rhyne Howard,25,7-19,4-9,3-3,3,0,3,1,3,2,2,3,24
S Dearica Hamby,20,7-15,0-3,4-6,11,4,7,2,0,1,1,4,22
S Arike Ogunbowale,13,0-7,0-3,0-0,2,0,2,3,1,0,1,3,0
Aliyah Boston,9,1-3,0-0,2-2,5,1,4,0,1,1,0,2,5
Rae Burrell,13,1-7,0-0,1-2,3,0,3,3,3,0,2,3,4
Jordin Canada,DNP
TEAM,,16-51,4-15,10-13,30,9,21,9,8,4,6,15,55
,,31.4%,26.7%,76.9%
