PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Sabrina Ionescu,32,6-17,5-13,1-2,4,0,4,2,2,1,0,0,18
S Satou Sabally,31,4-14,1-4,1-1,7,2,5,2,2,0,4,4,11
S Brittney Griner,33,3-7,1-2,0-2,6,0,6,0,0,1,1,1,7
Natasha Cloud,13,4-11,2-5,0-0,3,0,3,2,0,0,4,2,10
Katie Lou Samuelson,8,1-5,0-1,0-1,2,2,0,2,0,0,1,1,2
Marina Mabrey,DNP
TEAM,,18-55,9-25,2-6,26,5,21,8,4,2,10,8,48
,,32.7%,36.0%,33.3%
