PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kahleah Copper,12,7-16,2-5,1-1,4,1,3,0,1,0,1,3,18
S Chelsea Gray,15,5-13,1-3,1-1,7,0,7,6,1,1,3,4,12
S Angel Reese,8,2-6,0-0,0-0,6,1,5,1,1,0,3,4,4
Lexie Hull,10,8-11,1-2,1-1,3,2,1,3,0,0,0,4,19
Azurá Stevens,10,5-10,2-4,2-2,7,1,6,3,0,0,1,1,16
Brittney Sykes,5,1-5,0-0,0-0,0,0,0,1,1,0,0,1,2
TEAM,,28-61,6-14,5-5,31,6,25,14,4,1,8,17,71
,,45.9%,42.9%,100.0%
