PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Allisha Gray,17,9-15,2-7,3-3,6,0,6,3,3,0,1,2,26
S Skylar Diggins-Smith,18,9-17,3-6,3-3,2,1,1,5,2,0,1,2,25
S Napheesa Collier,12,5-9,1-4,3-3,9,4,5,2,2,0,0,1,16
Courtney Williams,16,5-12,1-4,0-0,10,2,8,7,0,0,0,5,11
Shakira Austin,13,5-7,0-0,0-1,2,1,1,0,1,1,3,7,10
Cameron Brink,DNP
TEAM,,33-60,7-21,9-10,32,8,24,17,8,1,5,17,88
,,55.0%,33.3%,90.0%
