PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Rhyne Howard,25,10-24,7-13,1-1,4,1,3,1,3,0,2,4,28
S Dearica Hamby,18,6-13,0-2,4-5,6,1,5,1,2,0,2,5,19
S Jordin Canada,21,5-11,0-2,2-2,10,3,7,8,0,0,1,2,13
Rae Burrell,11,3-8,0-2,2-2,1,0,1,1,1,0,0,1,10
Aliyah Boston,11,1-3,0-1,0-0,2,0,2,0,0,0,0,2,2
Arike Ogunbowale,DNP
TEAM,,25-59,7-20,9-10,29,10,19,11,6,0,5,15,72
,,42.4%,35.0%,90.0%
