PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Rhyne Howard,25,12-24,9-17,2-3,12,5,7,5,1,0,1,5,37
S Dearica Hamby,16,4-11,1-2,0-2,10,1,9,0,0,1,1,4,9
S Jordin Canada,12,3-5,0-1,1-1,3,0,3,3,0,0,1,2,7
Rae Burrell,12,4-13,2-5,2-3,3,2,1,1,1,0,1,2,14
Aliyah Boston,13,2-2,1-1,0-0,5,1,4,0,0,0,0,1,5
Arike Ogunbowale,8,1-6,0-2,0-0,0,0,0,1,0,0,2,0,2
TEAM,,26-61,13-28,5-10,36,10,26,10,2,1,6,14,74
,,42.6%,46.4%,50.0%
