PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Chelsea Gray,15,7-20,2-6,0-0,0,0,0,6,0,0,1,1,16
S Angel Reese,11,5-8,0-0,2-3,7,2,5,0,1,2,2,2,13
S Kahleah Copper,11,5-15,0-2,0-0,9,0,9,1,0,0,1,2,10
Azurá Stevens,11,8-15,0-5,2-3,6,2,4,0,1,1,0,1,19
Lexie Hull,13,2-5,1-3,0-1,3,1,2,1,2,0,0,2,5
Brittney Sykes,DNP
TEAM,,27-63,3-16,4-7,33,11,22,8,4,3,4,8,63
,,42.9%,18.8%,57.1%
