PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,19,11-19,3-6,1-3,11,1,10,3,2,0,1,1,27
S Skylar Diggins-Smith,11,8-17,3-8,1-3,4,1,3,1,1,1,0,5,21
S Allisha Gray,15,5-13,0-4,3-4,6,0,6,1,1,0,3,3,15
Courtney Williams,10,6-10,0-1,1-1,7,0,7,4,0,1,0,3,14
Shakira Austin,7,1-3,0-0,1-1,2,1,1,0,1,1,3,2,4
Cameron Brink,DNP
TEAM,,32-63,7-20,7-12,32,3,29,9,5,3,7,14,84
,,50.8%,35.0%,58.3%
