PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Chelsea Gray,15,10-16,3-4,2-2,3,2,1,8,0,0,2,2,28
S Kahleah Copper,13,8-14,1-2,2-4,8,1,7,0,0,1,2,4,21
S Angel Reese,8,2-7,0-0,1-1,15,5,10,3,0,1,0,5,6
Azurá Stevens,13,11-18,0-4,1-2,8,3,5,2,0,0,0,3,23
Lexie Hull,12,2-7,1-3,0-0,3,1,2,3,0,0,1,5,5
Brittney Sykes,DNP
TEAM,,33-62,5-13,6-9,42,13,29,16,0,2,5,19,83
,,53.2%,38.5%,66.7%
