PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Sabrina Ionescu,19,9-22,2-8,2-2,9,6,3,3,0,0,1,3,22
S Satou Sabally,16,4-12,2-6,2-2,7,1,6,4,0,0,1,5,13
S Katie Lou Samuelson,15,3-6,2-4,0-0,3,1,2,2,1,1,1,3,8
Brittney Griner,17,7-10,0-0,4-4,7,3,4,1,1,3,3,4,22
Natasha Cloud,17,6-14,1-5,1-1,8,3,5,4,0,0,3,1,14
Marina Mabrey,DNP
TEAM,,29-64,7-23,9-9,41,16,25,14,2,4,9,16,79
,,45.3%,30.4%,100.0%
