PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Satou Sabally,16,9-21,1-7,0-1,9,1,8,4,1,0,5,2,19
S Katie Lou Samuelson,9,3-6,1-3,0-2,4,1,3,0,0,0,1,3,7
S Natasha Cloud,10,1-8,0-4,1-1,7,2,5,6,0,0,1,2,4
Natisha Hiedeman,11,7-13,2-5,2-2,3,0,3,1,0,1,2,3,18
Brittney Griner,12,5-12,0-1,0-0,5,0,5,1,0,1,0,1,10
Sabrina Ionescu,DNP
Marina Mabrey,DNP
TEAM,,25-60,4-20,3-6,32,5,27,12,1,2,9,11,58
,,41.7%,20.0%,50.0%
