PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Chelsea Gray,24,11-24,4-7,0-0,5,2,3,7,4,1,4,2,26
S Angel Reese,24,7-14,0-0,1-2,17,2,15,4,1,1,3,4,16
S Brittney Sykes,11,2-10,0-1,0-1,5,2,3,0,0,0,1,3,4
Lexie Hull,19,4-9,0-3,1-1,3,0,3,2,1,1,2,4,10
Ariel Atkins,5,1-2,0-0,0-0,0,0,0,2,1,0,2,1,2
Azurá Stevens,DNP
Kahleah Copper,DNP
TEAM,,25-59,4-11,2-4,37,8,29,15,7,3,12,14,58
,,42.4%,36.4%,50.0%
