PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Chelsea Gray,23,12-24,8-13,1-1,6,1,5,4,1,0,1,2,33
S Brittney Sykes,20,8-17,0-0,1-1,5,0,5,5,2,1,1,4,18
S Angel Reese,13,5-13,0-0,0-0,13,5,8,0,0,1,0,4,10
Azurá Stevens,9,3-7,0-2,1-1,6,0,6,1,2,1,0,1,8
Lexie Hull,12,2-6,1-4,0-0,4,0,4,1,1,0,0,4,5
Kahleah Copper,DNP
Ariel Atkins,DNP
TEAM,,30-67,9-19,3-3,41,10,31,11,6,3,2,15,74
,,44.8%,47.4%,100.0%
