PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Allisha Gray,15,7-12,5-8,2-2,6,0,6,2,0,0,2,3,23
S Napheesa Collier,23,8-14,2-4,1-1,6,0,6,3,2,0,0,3,20
S Skylar Diggins-Smith,14,7-11,0-3,2-2,2,0,2,7,1,0,0,4,18
Courtney Williams,11,7-13,2-2,1-1,4,0,4,5,0,0,0,1,19
Shakira Austin,14,4-9,0-0,3-3,6,6,0,1,0,1,0,2,14
Cameron Brink,DNP
TEAM,,33-59,9-17,9-9,27,6,21,18,3,1,2,13,94
,,55.9%,52.9%,100.0%
