PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kayla McBride,15,7-15,2-7,3-4,6,1,5,2,0,0,0,5,20
S Tiffany Hayes,8,4-9,0-1,3-3,2,0,2,2,1,0,0,1,14
S Stefanie Dolson,13,4-7,1-2,1-1,4,0,4,1,0,3,1,6,11
Jackie Young,12,4-12,4-7,2-3,1,0,1,3,2,0,0,2,16
Kate Martin,12,3-11,0-5,1-1,6,1,5,0,1,0,0,1,8
Natisha Hiedeman,DNP
Alyssa Thomas,DNP
TEAM,,22-54,7-22,10-12,23,4,19,8,4,3,1,15,69
,,40.7%,31.8%,83.3%
