PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kayla McBride,15,9-22,2-7,1-1,7,1,6,3,1,0,2,1,21
S Tiffany Hayes,13,6-16,2-4,1-2,7,1,6,0,0,0,2,2,16
S Alyssa Thomas,13,6-13,0-0,0-0,15,2,13,4,1,1,2,3,12
Kate Martin,10,2-10,2-7,2-2,4,0,4,3,3,0,1,2,10
Stefanie Dolson,6,2-4,0-1,0-0,4,0,4,0,0,0,1,1,4
Jackie Young,DNP
TEAM,,25-65,6-19,4-5,42,6,36,10,5,1,8,9,63
,,38.5%,31.6%,80.0%
