PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Dearica Hamby,13,9-15,0-2,0-0,9,2,7,2,4,0,2,5,18
S Rhyne Howard,14,6-12,3-7,1-1,4,0,4,4,1,0,2,1,16
S Arike Ogunbowale,12,5-12,4-8,1-1,2,0,2,4,1,1,1,2,16
Jordin Canada,9,6-11,1-2,1-2,2,0,2,4,0,0,0,2,14
Rae Burrell,6,4-6,1-2,1-1,2,0,2,1,0,0,2,1,11
Aliyah Boston,7,2-3,0-0,0-0,2,0,2,0,0,1,0,2,4
TEAM,,32-59,9-21,4-5,25,3,22,15,6,2,7,13,79
,,54.2%,42.9%,80.0%
