PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Dearica Hamby,13,4-6,0-1,4-5,10,2,8,1,0,0,3,1,14
S Arike Ogunbowale,10,6-12,0-4,0-0,1,0,1,0,1,0,2,4,12
S Jordin Canada,9,3-9,0-0,1-1,3,2,1,3,0,0,3,1,8
Rhyne Howard,12,9-18,3-9,0-1,5,0,5,1,2,0,2,5,21
Rae Burrell,8,5-8,1-2,1-3,1,0,1,3,0,1,0,3,13
Aliyah Boston,6,0-1,0-0,0-0,4,0,4,3,1,1,0,1,0
TEAM,,27-54,4-16,6-10,27,5,22,11,4,2,10,15,68
,,50.0%,25.0%,60.0%
