PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kahleah Copper,13,7-13,0-2,0-1,7,1,6,1,1,0,2,1,14
S Chelsea Gray,13,5-9,1-2,2-2,2,0,2,6,0,0,3,1,14
S Angel Reese,11,5-10,0-0,1-3,6,3,3,1,0,0,0,1,12
Azurá Stevens,11,7-8,2-3,1-2,4,1,3,0,1,0,1,2,17
Brittney Sykes,14,5-9,0-3,2-2,5,1,4,3,0,0,4,6,13
Lexie Hull,3,0-1,0-0,0-0,0,0,0,0,0,0,0,1,0
TEAM,,29-50,3-10,6-10,27,7,20,11,2,0,10,12,70
,,58.0%,30.0%,60.0%
