PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Kahleah Copper,16,8-15,2-5,3-4,3,1,2,1,2,0,3,3,24
S Chelsea Gray,16,8-20,2-7,2-2,9,2,7,6,2,0,3,1,21
S Angel Reese,13,3-7,0-0,2-2,14,2,12,4,0,0,5,4,10
Brittney Sykes,9,4-9,1-1,0-0,0,0,0,2,0,0,0,3,9
Azurá Stevens,9,3-10,0-2,0-0,8,4,4,0,0,1,0,3,6
Lexie Hull,6,1-2,1-1,0-0,1,0,1,1,0,0,0,0,3
TEAM,,27-63,6-16,7-8,38,10,28,14,4,1,11,14,73
,,42.9%,37.5%,87.5%
