PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Sabrina Ionescu,17,6-11,2-4,0-0,7,1,6,6,0,0,4,3,14
S Satou Sabally,14,5-9,2-4,0-1,4,1,3,3,0,0,3,3,12
S Natasha Cloud,15,3-8,1-6,2-2,6,0,6,2,0,0,3,2,11
Brittney Griner,10,5-8,0-0,2-2,5,0,5,1,0,0,1,4,13
Katie Lou Samuelson,5,5-9,1-3,0-0,3,1,2,1,1,0,2,1,11
Natisha Hiedeman,9,3-7,2-5,0-0,4,0,4,3,1,0,0,3,8
Marina Mabrey,DNP
TEAM,,27-52,8-22,4-5,30,3,27,16,2,0,14,16,69
,,51.9%,36.4%,80.0%
