PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,19,7-15,1-3,2-2,13,1,12,2,1,0,1,2,18
S Jewell Loyd,17,6-10,0-2,0-0,1,1,0,5,0,0,1,2,12
S Rickea Jackson,11,2-9,0-2,0-0,1,1,0,1,1,0,3,1,4
Courtney Vandersloot,15,7-11,2-3,3-4,5,0,5,2,0,1,2,2,21
Aaliyah Edwards,11,3-6,0-0,0-0,10,1,9,2,0,0,3,4,6
DiJonai Carrington,6,2-6,0-1,0-1,0,0,0,0,2,0,1,1,4
NaLyssa Smith,DNP
TEAM,,27-57,3-11,5-7,33,5,28,12,4,1,11,12,65
,,47.4%,27.3%,71.4%
