PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,20,8-20,0-5,3-3,12,1,11,4,1,0,1,1,21
S Rickea Jackson,13,5-11,0-2,1-1,8,4,4,1,0,3,3,0,12
S Jewell Loyd,14,3-8,1-2,1-1,4,0,4,2,0,0,2,0,9
DiJonai Carrington,12,5-6,1-2,1-1,7,1,6,2,1,0,2,4,13
Courtney Vandersloot,13,4-11,0-2,0-1,3,0,3,4,0,0,1,0,8
Aaliyah Edwards,7,1-1,0-0,0-0,6,0,6,1,1,0,0,1,2
NaLyssa Smith,DNP
TEAM,,26-57,2-13,6-7,43,8,35,14,3,3,9,6,65
,,45.6%,15.4%,85.7%
