PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,22,7-21,0-3,4-5,7,0,7,5,0,2,1,1,22
S Courtney Vandersloot,21,7-14,2-4,1-1,5,2,3,3,2,1,0,1,18
S Rickea Jackson,6,1-5,1-1,0-0,0,0,0,0,0,0,2,5,3
DiJonai Carrington,19,7-13,1-3,2-3,9,2,7,3,2,1,3,2,18
Aaliyah Edwards,16,3-4,0-0,2-5,10,2,8,2,1,2,3,2,10
NaLyssa Smith,DNP
Jewell Loyd,DNP
TEAM,,25-57,4-11,9-14,38,10,28,13,5,6,9,11,71
,,43.9%,36.4%,64.3%
