PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Napheesa Collier,19,16-27,0-2,5-5,15,4,11,3,2,1,4,6,38
S Allisha Gray,16,4-13,4-9,3-3,9,2,7,6,2,0,4,6,18
S Skylar Diggins-Smith,13,6-12,1-3,0-0,2,0,2,5,4,0,4,4,13
Courtney Williams,7,4-7,0-0,1-1,2,0,2,5,1,0,0,1,9
Shakira Austin,5,3-5,0-0,1-1,2,0,2,1,0,0,0,2,7
Cameron Brink,DNP
TEAM,,33-64,5-14,10-10,33,6,27,20,9,1,12,19,85
,,51.6%,35.7%,100.0%
