PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Breanna Stewart,15,7-18,0-2,4-4,13,1,12,4,1,0,2,3,19
S Rickea Jackson,12,7-16,2-7,1-1,4,1,3,1,0,1,2,2,17
S Jewell Loyd,13,4-8,3-5,1-1,4,2,2,1,0,0,1,3,13
DiJonai Carrington,5,3-6,3-4,1-1,2,0,2,0,0,0,1,0,11
Courtney Vandersloot,7,1-4,0-1,0-0,2,0,2,3,1,0,1,3,2
Aaliyah Edwards,8,1-8,0-0,0-0,4,1,3,0,0,1,0,2,2
NaLyssa Smith,DNP
TEAM,,23-60,8-19,7-7,37,7,30,9,2,2,7,13,64
,,38.3%,42.1%,100.0%
