PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Rickea Jackson,19,10-19,2-6,0-0,4,1,3,1,0,0,1,2,22
S Breanna Stewart,17,6-12,1-1,1-2,10,2,8,1,2,0,2,3,15
S Jewell Loyd,6,0-2,0-1,0-0,0,0,0,0,0,1,1,1,0
DiJonai Carrington,12,4-10,1-3,1-1,1,0,1,2,4,0,3,5,11
Courtney Vandersloot,14,2-10,0-3,1-1,0,0,0,4,0,1,0,1,6
Aaliyah Edwards,11,2-10,0-0,0-1,5,0,5,2,0,1,2,1,4
NaLyssa Smith,DNP
TEAM,,24-63,4-14,3-5,25,6,19,10,6,3,9,13,58
,,38.1%,28.6%,60.0%
