PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Satou Sabally,15,7-17,2-7,3-3,7,2,5,1,1,0,3,1,21
S Natasha Cloud,16,2-8,1-2,1-1,3,1,2,4,0,0,2,1,7
S Katie Lou Samuelson,10,1-3,0-0,1-1,3,0,3,1,0,0,1,2,3
Natisha Hiedeman,13,7-11,6-7,0-0,4,1,3,3,0,0,0,3,20
Brittney Griner,18,8-11,1-1,1-1,7,3,4,7,0,3,2,1,19
Marina Mabrey,12,3-12,1-9,1-1,4,1,3,2,0,0,2,3,9
Sabrina Ionescu,DNP
TEAM,,28-62,11-26,7-7,32,10,22,18,1,3,10,11,79
,,45.2%,42.3%,100.0%
