PLAYERS,MIN,FG,3PT,FT,REB,OREB,DREB,AST,STL,BLK,TO,PF,PTS
S Satou Sabally,11,7-14,3-5,0-2,2,0,2,1,0,1,0,1,17
S Sabrina Ionescu,15,5-13,1-3,2-2,3,0,3,3,1,0,0,0,15
S Katie Lou Samuelson,16,5-9,0-2,0-0,3,1,2,4,1,2,0,3,10
Brittney Griner,16,5-11,0-1,0-0,5,1,4,0,0,3,2,0,10
Natasha Cloud,18,3-7,1-3,0-1,6,0,6,5,1,0,1,3,7
Marina Mabrey,DNP
TEAM,,25-54,5-14,2-5,26,3,23,13,3,6,3,7,59
,,46.3%,35.7%,40.0%
